number,meters
250001113263,9.35
250001113264,9.6
250001113269,13.4
250001113286,9.5
250001113291,4.7
250001113292,15.3
250001113294,11.2
250001113304,6.4
250001113305,9
250001113306,1.4
250001113308,6.7
250001113310,6.4
250001113311,6.7
250001113312,13.8
250001113313,11.9
250001113314,12.8
250001113315,11.05
250001113317,6.7
250001113318,8
250001113319,6.4
250001113320,0
250001113322,0
250001113326,6.4
250001113327,6.4
250001113328,6.7
250001113329,8
250001113330,2.2
250001113331,6.7
250001113332,12.8
250001113335,7.6
250001113336,6.3
250001113337,13.4
250001113338,12.8
250001113339,12.8
250001113340,13.4
250001113341,12.8
250001113342,11.2
250001113343,12.8
250001113345,6.65
250001113347,12.8
250001113348,12.8
250001113349,9.6
250001113350,12.8
250001113351,12.8
250001113353,12.8
250001113354,13.6
250001113357,10.2
250001113365,7.82
250001113372,12.8
250001113390,6.7
250001113400,12.8
250001113402,6.4
250001113406,8
250001113410,0.1
250001113411,12.8
250001113416,0
250001113418,0.3
250001113419,6.8
250001113420,13.4
250001113421,1.47
250001113423,13.4
250001113428,13.4
250001113433,0.4
250001113434,6.7
250001113436,6.36
250001113438,13.4
250001113441,9.9
250001113450,7.07
250001113451,1.7
250001113452,12.4
250001113457,12
250001113465,12.8
250001113466,12.4
250001113471,10.05
250001113472,6.7
250001113474,8.93
250001113476,13.6
250001113479,13.4
250001113493,6.7
250001113503,9.7
250001113505,13.4
250001113519,12.8
250001113520,13.72
250001113521,7.27
250001113522,3.78
250001113526,3.5
250001113529,5
250001113530,8.2
250001113531,5
250001113532,5.65
250001113533,8.5
250001113534,13.3
250001113536,13.3
250001113539,12.8
250001113540,8.94
250001113544,12.8
250001113553,8.93
250001113555,12.8
250001113558,8.93
250001113560,8.03
250001113568,6.7
250001113569,6.8
250001113570,6.2
250001113576,4.43
250001113577,6.45
250001113580,0
250001113581,13.4
250001113582,13.4
250001113591,5.31
250001113592,12.8
250001113594,3.9
250001113595,8.93
250001113596,12.8
250001113597,13.4
250001113612,10.05
250001113613,12.8
250001113614,10
250001113615,7.62
250001113616,12.8
250001113620,6.1
250001113628,13.4
250001113632,0.8
250001113633,12.8
250001113634,6.7
250001113635,9.5
250001113643,6
250001113644,6.7
250001113650,10.32
250001113660,5.51
250001113663,9.6
250001113664,6.18
250001113665,0.63
250001113666,11.5
250001113671,6.86
250001113675,4.47
250001113676,4.53
250001113678,0.1
250001113679,13.4
250001113680,13.4
250001113683,13.4
250001113684,5.5
250001113685,5
250001113692,6.4
250001113694,3.2
250001113705,7.1
250001113706,0.2
250001113707,1.4
250001113708,0.5
250001113709,13.4
250001113710,3.48
250001113711,8.87
250001113712,6.4
250001113713,7.65
250001113715,0.5
250001113721,14.4
250001113722,9
250001113723,6.4
250001113724,10.6
250001113726,5.8
250001113727,0.1
250001113735,12.9
250001113738,0.7
250001113745,0.1
250001113748,13.6
250001113755,9.6
250001113759,4
250001113761,5.95
250001113766,10.3
250001113767,13.4
250001113769,6.7
250001113771,2
250001113776,12.8
250001113777,8.93
250001113781,13.4
250001113783,5.1
250001113784,8.93
250001113786,6.7
250001113787,9.65
